KT1,KT2,KT3,KT_TB,BC,Bonus,QT_x,QT_y,CK,HP_grade
8.0,8.0,8.83,8.28,8.5,0.0,8.64,8.5,7.5,7.8
7.67,7.17,7.0,7.28,7.0,0.0,7.39,7.5,7.5,7.5
7.33,4.0,7.75,6.36,7.5,0.0,7.18,7.0,8.5,8.1
6.61,7.83,0.0,7.22,8.5,0.0,7.99,8.0,6.0,6.6
6.33,3.17,3.5,4.33,6.5,0.0,5.42,5.5,4.5,4.8
9.33,7.0,7.5,7.94,8.0,0.0,8.72,8.5,9.0,8.9
8.33,0.0,9.0,5.78,7.0,0.0,6.77,7.0,6.0,6.3
8.22,3.5,5.5,5.74,7.5,0.0,6.75,7.0,5.5,6.0
9.33,3.33,6.0,6.22,8.0,0.0,7.49,7.5,7.5,7.5
4.94,5.17,6.0,5.37,6.0,0.0,5.94,6.0,6.5,6.4
5.67,5.17,6.25,5.7,7.0,0.0,6.35,6.5,5.5,5.8
